Date,Close Prices,"ARIMA_60.0_(0, 1, 1)_Predictions",LSTM_80.0_Predictions
7/1/2016,42.46,49.32,
8/1/2016,47.04,40.18,
9/1/2016,49.06,48.68,
10/1/2016,48.3,48.92,
11/1/2016,50.47,47.88,
12/1/2016,56.13,50.97,
2/1/2017,55.59,57.42,
3/1/2017,52.83,54.91,
4/1/2017,51.73,52.05,
5/1/2017,50.31,51.44,
6/1/2017,47.92,49.78,
7/1/2017,52.65,47.16,
8/1/2017,52.38,54.01,
9/1/2017,57.54,51.74,
11/1/2017,63.57,59.01,
12/1/2017,66.6,64.77,
1/1/2018,69.05,67.07,
2/1/2018,65.78,69.58,
3/1/2018,70.27,64.65,
5/1/2018,77.59,71.82,
6/1/2018,79.44,79.27,
8/1/2018,77.42,79.56,
9/1/2018,82.72,76.86,
10/1/2018,75.47,84.47,
11/1/2018,58.71,73.04,
12/1/2018,52.28,54.42,
1/1/2019,61.89,51.48,
2/1/2019,66.03,64.93,
3/1/2019,68.39,66.31,
4/1/2019,72.8,68.99,
5/1/2019,64.49,73.96,
6/1/2019,66.55,61.6,
7/1/2019,65.17,67.93,
8/1/2019,60.43,64.32,
10/1/2019,60.23,59.2,
11/1/2019,62.43,60.44,
1/1/2020,58.16,62.94,
2/1/2020,50.52,56.66,
4/1/2020,25.27,48.54,
5/1/2020,35.33,17.75,
6/1/2020,41.15,39.39,
7/1/2020,43.3,41.36,
8/1/2020,45.1,43.6,
9/1/2020,40.95,45.3,
10/1/2020,37.46,39.56,
12/1/2020,51.34,36.65,
1/1/2021,55.88,55.09,
2/1/2021,66.13,55.97,
3/1/2021,63.54,68.76,
4/1/2021,67.25,62.16,61.64
5/1/2021,69.63,68.49,68.33
6/1/2021,75.13,69.9,69.35
7/1/2021,76.33,76.47,75.61
9/1/2021,78.52,76.32,74.62
10/1/2021,84.38,79.12,77.3
11/1/2021,70.57,85.8,84.4
12/1/2021,79.2,66.82,64.6
1/1/2022,91.21,81.94,81.98
2/1/2022,100.99,93.5,93.63
3/1/2022,107.91,103.01,103.15
4/1/2022,109.34,109.36,108.6
6/1/2022,114.81,109.58,109.15
